연번,노선명,시점,종점,연장(킬로미터),폭(미터),포장종류,도로종류,데이터기준일자
1,성남대로,복정역사거리,모란사거리,7.5,2,보도블럭,보행자 겸용도로,2026-06-03
2,성남대로,모란사거리,여수삼거리,1.2,1.5,투수콘,보행자 겸용도로,2026-06-03
3,성남대로,여수삼거리,장미사거리,1.35,2.5,투수콘,보행자 겸용도로,2026-06-03
4,성남대로,여수공공주택지구 앞,여수사거리,1.1,2.5,투수콘,보행자 겸용도로,2026-06-03
5,성남대로(광로3-5),광로3-5시점 야탑동 장미사거리,대로3-15시점 야탑역사거리,0.88,2.5,우레탄,보행자 겸용도로,2026-06-03
6,성남대로,대로3-15시점 야탑역사거리,이매1동 태원고교,1.7,2.5,"우레탄, 보도블럭",보행자 겸용도로,2026-06-03
7,성남대로,이매1동 태원고교,이매사거리,3.76,2.5,"우레탄, 보도블럭",보행자 겸용도로,2026-06-03
8,성남대로,이매사거리,농수산물센터사거리,13.2,2,"우레탄, 보도블럭, 투수콘",보행자 겸용도로,2026-06-03
9,성남대로 1542번길,성남대로 1540,성남대로1542번길 35,0.32,1.2,투수콘,보행자 겸용도로,2026-06-03
10,성남대로 1542번길,성남대로1542번길 35,성남대로 1542번길 시점,0.32,1.2,투수콘,보행자 겸용도로,2026-06-03
11,성남대로1480번길,성남대로1480번길 시점(복정로 98),성남대로 1480번길 38,0.3,1.2,투수콘,보행자 겸용도로,2026-06-03
12,성남대로 1416번길,복정로 36,성남대로 1416번길 20,0.12,1.2,투수콘,보행자 겸용도로,2026-06-03
13,성남대로1416번길,성남대로1414,복정로35,0.06,1.2,투수콘,보행자 겸용도로,2026-06-03
14,성남대로1390번길,성남대로 1390번길 시점,복정로9,0.06,1.2,투수콘,보행자 겸용도로,2026-06-03
15,성남대로43번길,성남대로43번길11,성남대로43번길11,0.34,1.2,투수콘,보행자 겸용도로,2026-06-03
16,성남대로997번길,성남대로 997,여수동 375,0.54,2.4,투수콘,보행자 겸용도로,2026-06-03
17,성남대로407번길,백궁삼거리,늘푸른고등학교,0.27,1.5,투수콘,보행자 겸용도로,2026-06-03
18,성남대로407번길,늘푸른고등학교,백궁삼거리,0.27,1.5,투수콘,보행자 겸용도로,2026-06-03
19,성남대로925번길,파인디지털,대법원전산정보센터,0.14,1.3,투수콘,보행자 겸용도로,2026-06-03
20,성남대로343번길,인텔리지2,정자역4번출구,0.26,1.2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
21,대왕판교로(1호광장),판교동 판교지하차도,세곡3교(서울시경계),13.8,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
22,대왕판교로,판교IC고가도로,판교바이오센타앞(판교테크노중앙사거리),1,2,투수콘,보행자 겸용도로,2026-06-03
23,대왕판교로,판교동 판교지하차도,금곡IC,6.79,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
24,대왕판교로606번길,화랑공원삼거리,동안사거리,0.21,1.5,투수콘,보행자 겸용도로,2026-06-03
25,대왕판교로606번길,판교역사거리,판교푸르지오월드마크,0.14,1.5,투수콘,보행자 겸용도로,2026-06-03
26,동판교로,낙생대공원삼거리,동판교로사거리,1.7,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
27,동판교로,동판교로사거리,성남송현초교앞,1.35,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
28,동판교로,성남송현초교앞,백현마을휴먼시아 4단지앞 사거리(동판교로사거리),1.33,2,투수콘,보행자 겸용도로,2026-06-03
29,동판교로,성남송현초교앞,서울외곽순환고속도로밑,0.46,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
30,동판교로,서울외곽순환고속도로밑,성남송현초교앞,0.46,2,투수콘,보행자 겸용도로,2026-06-03
31,동판교로60번길,백현마을3단지,서현교사거리,0.32,1.5,"투수콘, 보도블럭",보행자 겸용도로,2026-06-03
32,서판교로,광암사거리,판교원마을주공휴먼시아13단지 앞,1.86,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
33,판교로(하탑로)(대로2-12),대로2-12시점(야탑2동 벌말사거리),광로3-5교차점(하탑사거리),1.57,2,투수콘,보행자 겸용도로,2026-06-03
34,판교로(하탑로),하탑사거리,야탑3동 195-1(분당테크노파크),2.01,2,"우레탄, 보도블럭",보행자 겸용도로,2026-06-03
35,판교로,하산운사거리,한철교,0.31,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
36,판교로,한철교,하산운사거리,0.17,2,투수콘,보행자 겸용도로,2026-06-03
37,판교로,현대힐스테이트11단지,성내미사거리,0.22,2,투수콘,보행자 겸용도로,2026-06-03
38,판교로,성내미사거리,판교원휴먼시아12단지,0.22,2,보도블럭,보행자 겸용도로,2026-06-03
39,판교로,판교테크노14사거리,봇들사거리,0.23,2,투수콘,보행자 겸용도로,2026-06-03
40,판교로,봇들사거리,벌말사거리,0.5,2,투수콘,보행자 겸용도로,2026-06-03
41,판교로,벌말사거리,봇들사거리,0.57,2,투수콘,보행자 겸용도로,2026-06-03
42,판교로,성내미사거리,판교테크노14사거리,1.37,2,투수콘,보행자 겸용도로,2026-06-03
43,판교로,봇들사거리,낙생고가차도,1.36,1.5,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
44,판교로,낙생고가차도,성내미사거리,0.33,2,투수콘,보행자 겸용도로,2026-06-03
45,판교로228번길,판교스포츠센터,낙생고가차도,0.95,3,투수콘,보행자 겸용도로,2026-06-03
46,판교역로,판교역앞(동안교),판교테크노14사거리,0.58,2,투수콘,보행자 겸용도로,2026-06-03
47,판교역로,동안사거리,낙생지하차도,0.4,1.5,투수콘,보행자 겸용도로,2026-06-03
48,판교역로,환승주차장삼거리,동안사거리,0.25,1.5,투수콘,보행자 겸용도로,2026-06-03
49,판교역로,동안사거리,동안교,0.14,1.3,보도블럭,보행자 겸용도로,2026-06-03
50,판교역로 192번길,봇들교사거리,동안교,0.27,1.5,"투수콘, 보도블럭",보행자 겸용도로,2026-06-03
51,판교원로,성산운교,두밀교(산운초교),1.3,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
52,판교원로82번길,산운마을14단지,산운마을14,0.24,2,보도블럭,보행자 겸용도로,2026-06-03
53,판교원로82번길,경남아너스빌14단지앞,판교원2사거리,0.77,2,투수콘,보행자 겸용도로,2026-06-03
54,안양판교로,운중교차로사거리,의왕시계,2.2,3.4,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
55,운중로,성산운교,용인~서울고속도로밑,0.51,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
56,운중로,용인~서울고속도로밑,성산운교,0.51,2,투수콘,보행자 겸용도로,2026-06-03
57,운중로,용인~서울고속도로밑,판교도서관앞 사거리,1.78,2,투수콘,보행자 겸용도로,2026-06-03
58,운중로,판교도서관앞사거리,용인~서울고속도로밑,1.78,2,투수콘,보행자 겸용도로,2026-06-03
59,운중로,판교도서관앞 사거리,낙원교,2,3,투수콘,보행자 겸용도로,2026-06-03
60,운중로45번길,운중로사거리,산운길2삼거리(운중초교앞 삼거리),0.1,2,투수콘,보행자 겸용도로,2026-06-03
61,운중로113번길,중산운사거리,산운길3삼거리,0.12,2,투수콘,보행자 겸용도로,2026-06-03
62,운중로137번길,운중동주민센터사거리,산운길4삼거리,0.15,2,투수콘,보행자 겸용도로,2026-06-03
63,운중로165번길,산운사거리,산운길5삼거리,0.15,2,투수콘,보행자 겸용도로,2026-06-03
64,운중로277번길,운중로 277번길 59 앞,운중로229 앞,0.53,2,투수콘,보행자 겸용도로,2026-06-03
65,운중로243번길,판교원마을6단지,판교청소년수련관앞,0.56,2,투수콘,보행자 겸용도로,2026-06-03
66,운중로225번길,운중로267번길4-10 앞,운중로 277번길 59 앞,0.08,2,투수콘,보행자 겸용도로,2026-06-03
67,산성대로(광로2-2),광로2-2시점(수진역사거리),광로2-2종점(산성육교),8,2.5,투수콘,보행자 겸용도로,2026-06-03
68,산성대로,모란사거리,수진역사거리,2.2,2,투수콘,보행자 겸용도로,2026-06-03
69,산성대로,모란사거리,탄천로 연결지점,1.1,3,투수콘,보행자 겸용도로,2026-06-03
70,산성대로,탄천로연결지점,모란사거리,1.26,3,투수콘,보행자 겸용도로,2026-06-03
71,청계산로,적푸리마을입구,정혜사앞,2.76,2,아스콘,전용도로,2026-06-03
72,청계산로,정혜사앞,청계산로입구,0.84,2,투수콘,전용도로,2026-06-03
73,청계산로,sk청계산주유소앞,적푸리마을입구,1.3,3,아스콘,전용도로,2026-06-03
74,둔촌대로,상대원교(하대원 48 야채시장앞),공단본부사거리,4.28,2.5,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
75,둔촌대로(대로3-10),대로3-10시점(상대원1동파출소),대로3-10종점(순환로),2.32,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
76,둔촌대로,모란시장사거리,하대원파출소앞사거리,2.44,1.5,투수콘,보행자 겸용도로,2026-06-03
77,서현로,대로1-8시점(이매1동 매송사거리),분당 성요한성당,7.2,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
78,서현로,푸르지오 그랑블아파트앞 사거리,매송사거리,1.27,2,투수콘,보행자 겸용도로,2026-06-03
79,백현로(대로1-12),대로1-12시점(수내동 백현교),대로1-12종점(푸른마을삼거리),3.71,1.5,투수콘,보행자 겸용도로,2026-06-03
80,백현로,백현교사거리,백현사거리,0.12,2,투수콘,보행자 겸용도로,2026-06-03
81,백현로101번길,수내동다운타운,수내동다운타운,0.05,1.2,투수콘,보행자 겸용도로,2026-06-03
82,돌마로,돌마교사거리,금곡고가차도,2.54,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
83,돌마로,서당사거리,돌마교사거리,7.1,2,"우레탄, 보도블럭, 투수콘",보행자 겸용도로,2026-06-03
84,돌마로,도촌사거리,상탑사거리,1.63,2,"우레탄, 보도블럭",보행자 겸용도로,2026-06-03
85,돌마로476번길,창민프라자,분당서현프라자,0.46,1.5,투수콘,보행자 겸용도로,2026-06-03
86,돌마로486번길,효자촌동진프라자,주영빌딩,0.46,1.5,투수콘,보행자 겸용도로,2026-06-03
87,돌마로356번길,그랜드빌딩,수내파출소,0.5,1.5,투수콘,보행자 겸용도로,2026-06-03
88,돌마로366번길,동한프라자,현대제일상가,0.53,1.5,투수콘,보행자 겸용도로,2026-06-03
89,황새울로(탄천중로),백현교,불정교삼거리,3.84,1.5,투수콘,보행자 겸용도로,2026-06-03
90,황새울로(탄천중로),대로3-20시점(백현교),대로3-20종점(이매촌한신아파트 204동),3.44,1.5,투수콘,보행자 겸용도로,2026-06-03
91,황새울로200번길,황새울로연결지점,수내동다운타운,0.22,1.2,투수콘,보행자 겸용도로,2026-06-03
92,장미로(대로3-13),대로3-13시점(장미사거리),대로3-13종점(돌마로연결지점),2.72,2,투수콘,보행자 겸용도로,2026-06-03
93,장미로(대로3-12),대로3-12시점(장미사거리),대로3-12종점(야탑1동 사송교삼거리),1.42,2,투수콘,보행자 겸용도로,2026-06-03
94,장미로38번길,KT분당IDC,KT분당IDC,0.1,1.3,투수콘,보행자 겸용도로,2026-06-03
95,야탑로(번영로)(대로3-14),대로3-14시점(야탑역사거리),대로3-14종점(분당수서간고속화도로),1.02,2,투수콘,보행자 겸용도로,2026-06-03
96,야탑로(번영로)(대로3-15),대로3-15시점(야탑역사거리),대로3-15종점(상탑사거리),2.62,2,"우레탄, 투수콘",보행자 겸용도로,2026-06-03
97,야탑로(번영로),중로1-41시점(야탑3동 상탑사거리),중로1-41종점(야탑3동 192-2),2.5,2,"우레탄, 보도블럭",보행자 겸용도로,2026-06-03
98,야탑로65번길,대법원전산정보센터,대법원전산정보센터,0.09,1.3,투수콘,보행자 겸용도로,2026-06-03
99,양현로,대로3-11시점(야탑사거리),대로3-11종점(도촌동 도촌사거리),2.78,2,우레탄,보행자 겸용도로,2026-06-03
100,양현로(탄천우로),야탑사거리,분당소방서삼거리,8.38,3,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
101,양현로310번길,GS주유소,대법원전산정보센터,0.13,1.3,투수콘,보행자 겸용도로,2026-06-03
102,매화로(송림로)(대로3-16),대로3-16시점(하탑삼거리),대로3-16종점(야탑동 여수동입구교차로),2.06,2,투수콘,보행자 겸용도로,2026-06-03
103,분당내곡로(광장로),수내사거리,푸르지오그랑블아파트앞 사거리(광장로사거리),1.07,2,투수콘,보행자 겸용도로,2026-06-03
104,분당내곡로(광장로),느티나무사거리,수내사거리,0.86,2,투수콘,보행자 겸용도로,2026-06-03
105,분당내곡로(광장로),푸르지오그랑블아파트앞 사거리(광장로사거리),봇들교(봇들교사거리),0.5,2,투수콘,보행자 겸용도로,2026-06-03
106,분당내곡로(광장로),봇들교(봇들교사거리),봇들교(삼평사거리),0.14,2,투수콘,보행자 겸용도로,2026-06-03
107,분당내곡로(광장로),봇들교(삼평사거리),봇들교(봇들교사거리),0.14,2,투수콘,보행자 겸용도로,2026-06-03
108,분당내곡로,판교역,느티나무사거리,0.46,1.5,투수콘,보행자 겸용도로,2026-06-03
109,수내로(대로1-11),대로1-11시점(분당사거리),대로1-11종점(샛별삼거리),3.04,2,우레탄,보행자 겸용도로,2026-06-03
110,수내로,분당사거리,수내교사거리,0.23,2,보도블럭,보행자 겸용도로,2026-06-03
111,수내로,수내교사거리,수내사거리,0.29,2,투수콘,보행자 겸용도로,2026-06-03
112,수내로,수내사거리,수내교사거리,0.29,2,투수콘,보행자 겸용도로,2026-06-03
113,수정로(복개도로),태평역사거리,탄천,1.24,1.5,보도블럭,보행자 겸용도로,2026-06-03
114,수정로,태평역사거리,숯골사거리,1.36,1.5,보도블럭,보행자 겸용도로,2026-06-03
115,수정로,숯골사거리,태평역사거리,1.36,1.5,보도블럭,보행자 겸용도로,2026-06-03
116,미금로(대로2-17),금곡동196(대로2-17시점),용인시경계(대로2-17종점),6.05,2,투수콘,보행자 겸용도로,2026-06-03
117,미금로22번길,구미초등학교,무지개마을주공12단지,0.52,1.2,투수콘,보행자 겸용도로,2026-06-03
118,분당로(대로1-10),서현사거리,분당요한성당 삼거리,6.3,2,투수콘,보행자 겸용도로,2026-06-03
119,분당로,서현교,서현사거리,1.26,4,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
120,분당수서로,정자역 환승주차장,백현사거리,1.76,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
121,분당수서로,늘푸른초등학교,그린팩토리,0.14,1.5,투수콘,보행자 겸용도로,2026-06-03
122,분당수서로,코오롱트리폴리스,코오롱더프라우아파트,0.34,1.5,투수콘,보행자 겸용도로,2026-06-03
123,미금일로,금곡동 미금사거리(대로3-25시점),구미동 하얀마을삼거리(대로3-25종점),1.93,2,투수콘,보행자 겸용도로,2026-06-03
124,벌말로(중로1-20),중로1-20시점 야탑3동 목련삼거리,중로1-20종점 야탑1동 중탑삼거리,1.45,1.5,투수콘,보행자 겸용도로,2026-06-03
125,금곡로,대로3-23종점 금곡동 192,대로3-24종점 금곡동 150,6.77,2,"우레탄, 보도블럭",보행자 겸용도로,2026-06-03
126,불정로(대로2-16),서현2동 서당삼거리,분당수서간 고속화도로 연결지점,7.36,2,"보도블럭, 투수콘",보행자 겸용도로,2026-06-03
127,불정로23번길,삼성아데나펠리스아파트,대림아크로텔,0.36,1.2,투수콘,보행자 겸용도로,2026-06-03
128,불정로23번길,엠코헤리츠1단지,엠코헤리츠4단지,0.17,1.2,투수콘,보행자 겸용도로,2026-06-03
129,불정로376번길,동남프라자,범한프라자,0.42,1.5,투수콘,보행자 겸용도로,2026-06-03
130,불정로386번길,레이디파크빌딩,동남프라자,0.42,1.5,투수콘,보행자 겸용도로,2026-06-03
