노선번호,노선명,자전거도로유형,기점,종점,연장(km),폭(m),데이터기준일자
대덕-1,계족로663번길,자전거보행자겸용도로,대전광역시 대덕구 법동 334-16,대전광역시 대덕구 법동 286,1.6,1.5,2025-03-31
대덕-2,계족로664번길,자전거보행자겸용도로,대전광역시 대덕구 법동 187,대전광역시 대덕구 법동 189-11,0.9,1.8,2025-03-31
대덕-3,계족산로,자전거보행자겸용도로,대전광역시 대덕구 중리동 122-1,대전광역시 대덕구 송촌동 510,3,1.5,2025-03-31
대덕-4,대덕대로,자전거보행자겸용도로,대전광역시 대덕구 문평동 745,대전광역시 대덕구 신탄진동 145-3,6.4,2,2025-03-31
대덕-5,대전로,자전거보행자겸용도로,대전광역시 대덕구 읍내동 521-4,대전광역시 대덕구 오정동 771,9,1.5,2025-03-31
대덕-6,대청로,자전거보행자겸용도로,대전광역시 대덕구 신탄진동 144-1,대전광역시 대덕구 신탄진동 121-36,0.34,1.5,2025-03-31
대덕-7,대화로,자전거보행자겸용도로,대전광역시 대덕구 대화동 3-3,대전광역시 대덕구 대화동 1-30,0.85,2,2025-03-31
대덕-8,덕암로,자전거보행자겸용도로,대전광역시 대덕구 상서동 834-6,대전광역시 대덕구 덕암동 13-1,2.34,2,2025-03-31
대덕-9,덕암북로,자전거보행자겸용도로,대전광역시 대덕구 석봉동 314-1,대전광역시 대덕구 석봉동 317-10,0.4,2,2025-03-31
대덕-10,동서대로,자전거보행자겸용도로,대전광역시 대덕구 비래동 105-1,대전광역시 대덕구 비래동 561-5,1.4,1.5,2025-03-31
대덕-11,동춘당로,자전거보행자겸용도로,대전광역시 대덕구 비래동 520,대전광역시 대덕구 법동 190,3.2,2,2025-03-31
대덕-12,동춘당로114번길,자전거보행자겸용도로,대전광역시 대덕구 송촌동 460-1,대전광역시 대덕구 송촌동 77-28,0.75,1.5,2025-03-31
대덕-13,비래골길,자전거보행자겸용도로,대전광역시 대덕구 송촌동 25-2,대전광역시 대덕구 비래동 460-2,0.6,1.5,2025-03-31
대덕-14,산업단지로,자전거보행자겸용도로,대전광역시 대덕구 신일동 1692-5,대전광역시 대덕구 산성동 267-7,2.48,1.5,2025-03-31
대덕-15,선비마을로,자전거보행자겸용도로,대전광역시 대덕구 송촌동 547-2,대전광역시 대덕구 법동 443,3,2,2025-03-31
대덕-16,송촌북로,자전거보행자겸용도로,대전광역시 대덕구 송촌동 446-1,대전광역시 대덕구 송촌동 449-7,0.6,2,2025-03-31
대덕-17,신일서로126번길,자전거보행자겸용도로,대전광역시 대덕구 신일동 1692-5,대전광역시 대덕구 신일동 1709,0.7,1.5,2025-03-31
대덕-18,신탄진로,자전거보행자겸용도로,대전광역시 대덕구 읍내동 521-4,대전광역시 대덕구 신탄진동 464-19,17.6,1.5,2025-03-31
대덕-19,신탄진로756번안길,자전거전용도로,대전광역시 대덕구 용호동 64,대전광역시 대덕구 용호동 427-1,1.6,2.3,2025-03-31
대덕-20,계족로,자전거보행자겸용도로,대전광역시 대덕구 중리동 126-5,대전광역시 대덕구 읍내동 521-4,5.06,2,2025-03-31
대덕-21,쌍청당로,자전거보행자겸용도로,대전광역시 대덕구 법동 194-4,대전광역시 대덕구 중리동 502-1,1.2,1.5,2025-03-31
대덕-22,아리랑로,자전거보행자겸용도로,대전광역시 대덕구 법동 344-14,대전광역시 대덕구 읍내동 508-9,3.1,1.5,2025-03-31
대덕-23,오정로,자전거보행자겸용도로,대전광역시 대덕구 오정동 73-1,대전광역시 대덕구 오정동 372-4,2.6,2.5,2025-03-31
대덕-24,우암로,자전거보행자겸용도로,대전광역시 대덕구 비래동 45-1,대전광역시 대덕구 비래동 520,1.8,1.5,2025-03-31
대덕-25,중리로,자전거보행자겸용도로,대전광역시 대덕구 중리동 410-4,대전광역시 대덕구 중리동 369-16,1.6,1.5,2025-03-31
대덕-26,중리남로,자전거보행자겸용도로,대전광역시 대덕구 중리동 181-4,대전광역시 대덕구 중리동 411-9,1,2.5,2025-03-31
대덕-27,중리북로,자전거보행자겸용도로,대전광역시 대덕구 중리동 363-3,대전광역시 대덕구 법동 287-5,1.2,1.5,2025-03-31
대덕-28,중리서로,자전거보행자겸용도로,대전광역시 대덕구 중리동 438-8,대전광역시 대덕구 법동 280-2,3.2,4,2025-03-31
대덕-29,한남로,자전거보행자겸용도로,대전광역시 대덕구 오정동 172-3,대전광역시 대덕구 오정동 317-11,2,1.5,2025-03-31
대덕-30,한밭대로,자전거보행자겸용도로,대전광역시 대덕구 중리동 126-5,대전광역시 대덕구 오정동 44-1,4.8,1.5,2025-03-31
대덕-31,계족로,자전거보행자겸용도로,대전광역시 대덕구 법동 288,대전광역시 대덕구 법동 282-3,0.95,1.5,2025-03-31
대덕-32,대청로,자전거보행자겸용도로,대전광역시 대덕구 신탄진동 55,대전광역시 대덕구 신탄진동 55,0.8,2.3,2025-03-31
대덕-33,비래서로,자전거보행자겸용도로,대전광역시 대덕구 비래동 104-5,대전광역시 대덕구 비래동 151-7,1.8,1.5,2025-03-31
대덕-34,비래동로,자전거보행자겸용도로,대전광역시 대덕구 비래동 140-7,대전광역시 대덕구 비래동 136-1,0.8,1.5,2025-03-31
대덕-35,대청로,자전거전용도로,대전광역시 대덕구 신탄진동 40-6,대전광역시 대덕구 미호동 102,5.2,2.3,2025-03-31
대덕-36,비래서로,자전거보행자겸용도로,대전광역시 대덕구 비래동 123-24,대전광역시 대덕구 비래동 114-1,1.55,1.5,2025-03-31
대덕-37,동춘당로,자전거보행자겸용도로,대전광역시 대덕구 송촌동 443-1,대전광역시 대덕구 송촌동 441,0.43,3,2025-03-31
대덕-38,대덕대로,자전거전용도로,대전광역시 대덕구 석봉동 422-7,대전광역시 대덕구 석봉동 522-4,0.5,1.5,2025-03-31
대덕-39,대청로,자전거전용도로,대전광역시 대덕구 신탄진동 686-9,대전광역시 대덕구 신탄진동 55,0.18,2.5,2025-03-31
대덕-40,대덕대로1585번길,자전거보행자겸용도로,대전광역시 대덕구 석봉동 422-7,대전광역시 대덕구 석봉동 522-4,1.2,2.5,2025-03-31
대덕-41,대청로250번길,자전거전용도로,대전광역시 대덕구 용호동 427-6,대전광역시 대덕구 용호동 198,2,1.2,2025-03-31
대덕-42,신문로,자전거보행자겸용도로,대전광역시 대덕구 신탄진동 55,청주시 서원구 현도면 노산리 899,0.2,2,2025-03-31
