연번,기점,종점,총연장(킬로미터),전용도로 연장(킬로미터),전용도로 폭원(미터),분리형 겸용도로 연장(킬로미터),분리형 겸용도로 자전거도로 폭원(미터),분리형 겸용도로 보도폭원(미터)
1,옹암사거리,송학둥지아파트,1.3,,,0.5,1.7,1.5
2,송학둥지아파트,청학사거리,1.5,,,1.5,2,1.5
3,청학사거리,수리봉사거리,1.2,,,,,
4,수리봉사거리,인천여자고등학교,0.7,,,0.7,2,1.5
5,인천여자고등학교,선학파출소,0.9,0.8,2.4,0.9,2,1.5
6,선학파출소,인천여자고등학교,0.9,,,0.9,2,1.5
7,인천여자고등학교,청학보도육교,2.3,1.2,1.8,2.3,2,1.5
8,송도3교,외암도사거리,2.5,,,,,
9,연수새마을금고,벽산2차아파트,1.1,,,1,2,1.2
10,벽산2차아파트,연수새마을금고,1.1,,,1,2,1.2
11,능허대공원교차로,옥련사거리,0.7,,,0.6,1.6,1.2
12,옥련사거리,능허대공원교차로,0.7,2.5,2.2,0.6,1.6,1.2
13,능허대공원교차로,송도초교삼거리,1.2,,,1.2,2,1.5
14,송도초교삼거리,능허대공원교차로,1.2,,,1.2,2,1.5
15,청학사거리,청능교차로,0.6,,,0.6,2,1.5
16,서해아파트,청학사거리,0.5,,,0.5,2,1.5
17,청학사거리,연수역남부 공영주차장,0.8,,,,,
18,연수역,연화사거리,0.4,,,,,
19,연수역남부 공영주차장,연수역,0.6,,,0.6,2,1.8
20,연화사거리,원인재역삼거리,0.3,,,0.3,2.1,1.5
21,청학중삼거리,연수체육공원(남동구경계),2.4,0.9,1.8,2.4,1.5,1.5
22,연수체육공원(남동구경계),청능마을,2.4,0.5,2.2,2.4,1.5,1.5
23,송도3교,SK금천주유소,0.7,,,,,
24,SK금천주유소,동춘역사거리,2.2,,,,,
25,동춘역사거리,SK금천주유소,2.2,,,0.2,1.5,1.8
26,SK금천주유소,송도3교,0.7,,,0.1,1.5,1.5
27,동막역사거리,대건고등학교,0.6,0.8,1.5,,,
28,대건고등학교,동막역사거리,0.6,2.3,1.5,,,
29,구석말삼거리,연수역,2.3,2,1.5,0.1,1.5,1.5
30,연수역,구석말삼거리,2.3,0.6,1.5,0.1,1.5,1.5
31,흥광장로교회,길마산사거리,3.5,0.6,1.5,,,
32,길마산사거리,흥광장로교회,3.5,0.6,1.5,,,
33,신연수역,솔안말사거리,0.2,2.2,1.5,0.2,1.5,1.5
34,외암도사거리,선학역사거리,4.4,2.2,1.5,4.4,2.4,1.5
35,선학역사거리,문학경기장사거리,1.6,3.5,1.5,1.6,2,1.5
36,문학경기장사거리,선학역사거리,1.4,3.5,1.5,1.1,2,1.5
37,선학역사거리,외암도사거리,4.4,,,4.4,2,1.5
38,문학경기장정문사거리,문학경기장사거리,0.6,,,,,
39,교통공원사거리,문학경기장정문교차로,0.5,,,,,
40,문학경기장사거리,승기2교,0.9,0.3,1.5,,,
41,문학경기장정문교차로,종합터미널입구교차로,0.5,,,0.5,1.2,1.3
42,솔찬공원,송도1교 끝단,4.2,0.6,1.5,,,
43,송도2교 끝단,푸르지오월드마크 801동,1,0.5,1.8,1,1.5,1.5
44,송도동 103-1번지,잭니클라우스 골프장,1.7,0.9,1.5,1.7,1.5,1.5
45,인천대학교,인천대학교,0.8,,,0.8,1,1.5
46,송도동 10-71번지,송도2교 끝단,2.7,4.2,2.1,2.7,1.6,1.7
47,센트럴파크공원,인천대입구역,0.8,,,,,
48,송도3교 끝단,더샵엑스포 6단지,0.5,,,,,
49,센트럴파크 푸르지오시티,센트럴파크 푸르지오시티,0.5,,,,,
50,송도IBS타워,송도IBS타워,0.8,,,0.8,3.5,3.2
51,더샵엑스포 6단지,G타워,1.3,0.8,1.5,1.3,1.8,1.5
52,송도2동주민센터,더샵그린애비뉴 708동,1,0.5,1.5,,,
53,송도동 17-5번지,커넬워크 겨울동,2,0.5,2.4,,,
54,플러스원프라자,캠퍼스타운역,1.7,,,1.7,1.3,1.1
55,캠퍼스타운역,송도동 21-1번지,1.7,,,1.7,1.3,1.1
56,커넬워크 가을동,더샵하버뷰 1402동,1,1,1.9,,,
57,해양경찰청,캠퍼스타운역,1.4,2,1.9,,,
58,해돋이공원,해돋이공원,1,,,,,
59,더샵하버뷰 208동,커넬워크 가을동 맞은편,0.8,,,,,
60,혜인프라자,힐스테이트 602동,0.3,1,1.9,0.3,1.9,1.9
61,더샵퍼스트월드 6동,송도동 22-1번지,0.7,1.4,1.3,0.7,2.8,1.8
62,커넬워크 봄동,해돋이공원,2.5,1,1.2,,,
63,해돋이공원,송도동 24-10번지,2.6,0.8,1.9,,,
64,송도동 24-10번지,송도IBS타워,0.5,,,0.5,3.8,3
65,롯데마트,인천대학교,1.4,,,1.4,1.8,1.9
66,미추홀공원,센트럴파크호텔,2,2.5,1.8,2,2.6,1.8
67,한옥마을,센트럴파크공원,0.6,2.6,1.7,,,
68,송도동 30-1번지,송도동 11-62번지,4.5,,,,,
69,송도동 9-32번지,송도동 29-2번지,4.5,,,,,
70,가톨릭대학교,지식정보단지역,0.5,,,,,
71,가톨릭대학교,지식정보단지역,0.5,0.6,1.9,,,
72,웰카운티 218동,웰카운티 212동,0.3,4.5,2,0.3,1.8,1.3
73,웰카운티 212동,웰카운티 218동,0.3,4.5,2,0.3,1.8,1.3
74,셀트리온 1공장,인천대학교 끝,1.5,0.5,1.8,,,
75,송도동 115-4번지,인천대 정문 맞은편,0.4,0.5,1.8,0.4,2.2,1.4
76,잭니클라우스 골프장,잭니클라우스 골프장,1.2,,,1.2,2.8,1.5
77,풍림아이원 213동,인천대공과대학,3.2,,,3.2,1.4,1.2
78,남측유수지,먼우금초교,3.2,1.5,1.4,3.2,1.4,1.2
79,현대백화점아울렛,송도동 187-6번지,1.6,,,,,
80,송도동 165번지,송도동 158-3번지,1.6,,,,,
81,송도동 187번지,송도동 187번지,1,,,,,
82,송도동 180번지,송도동 180번지,1,,,,,
83,홈플러스,인천글로벌캠퍼스,1.5,1.6,1.9,,,
84,더샵그린스퀘어 112동,송도동 200-6번지,1.3,1.6,1.9,1.3,5.1,1.4
85,송도동 197-1번지,송도동 191-2번지,1.3,1,2.9,1.3,5.1,1.4
86,송도동 203-1번지,송도동 211-3번지,1.6,1,2.8,,,
87,삼성바이오에피스,송도동 190-4번지,1.6,1.5,1.9,,,
88,송도동 213-1번지,햄코테크놀로지코리아,1.6,,,,,
89,송도동 212-3번지,비알씨(주) 연구소,1.6,,,,,
90,송도동 221-2번지,송도동 221-2번지,1.6,1.6,2,,,
91,송도동 220번지,송도동 216-1번지,1.6,1.6,2,,,
92,송도동 163번지,송도동 242번지,1.5,1.6,1.9,,,
93,송도동 16-1번지,푸리지오월드마크 101동,1.1,1.6,1.9,1.1,2,1.4
94,더프라우 102동,송도동 15-1번지,1.1,1.6,1.9,1.1,3,3
95,커낼워크 봄동,센트럴파크푸르지오 103동,1.1,1.6,1.9,1.1,1.7,1.5
96,푸르지오월드마크 801동,커낼워크 여름동,1.1,1.5,1.5,1.1,2,1.5
97,커낼워크 가을동,더샵하버뷰 1401동,1.6,,,1.6,2,1.5
98,더샵하버뷰 1306동,커낼워크 겨울동,1.6,,,1.6,2,1.5
99,캠퍼스타운 103동,송도동 158-3번지,0.8,,,0.8,2.1,1.4
100,송도동 159-1번지,롯데캐슬아파트 104동,0.8,,,0.8,2.1,1.4
101,송도동 166번지,송도국제도시 2지구대,0.8,,,0.8,2.1,1.4
102,롯데캐슬아파트 102동,송도동 159-2번지,0.8,,,0.8,2.1,1.4
103,송도동 171번지,송도동 169번지,0.6,,,0.6,2,1.9
104,송도동 168-1번지,송도동 168-3번지,0.6,,,0.6,2,1.9
105,송도동 170-1번지,송도동 179-1번지,1.1,,,1.1,2.1,1.5
106,송도동 185-1번지,송도동 180-2번지,0.6,,,0.6,2.9,1.9
107,송도동 172-4번지,송도동 178-4번지,0.6,,,0.6,2.9,1.9
108,더샵그린스퀘어 105동,송도문화공원,1,,,1,1.9,1.1
109,송도누리공원,송도동 190-4번지,1,,,1,1.9,1.1
110,송도동 201-2번지,송도동 195-1번지,1,,,1,2,1.4
111,송도동 193-1번지,송도동 202번지,1,,,1,2,1.4
112,BRC스마트밸리 지식산업센터,송도동 205번지,0.6,,,0.6,2.1,1.4
113,송도동 203-5번지,극지연구소,0.6,,,0.6,2.1,1.4
114,송도동 217-1번지,송도동 207-1번지,0.8,,,0.8,2.1,1.4
115,송도동 205번지,송도동 213-4번지,0.8,,,0.8,2.1,1.4
116,송도동 220번지,송도동 211-1번지,0.5,,,0.5,2.1,1.4
117,송도동 209-2번지,송도동 218-2번지,0.5,,,0.5,2.1,1.4
118,송도동 178-1번지,송도동 172-1번지,0.5,,,0.5,2.1,1.4
119,송도동 169번지,송도동 178-1번지,0.5,,,0.5,2.1,1.4
120,송도동 87번지,송도동 86번지,0.5,,,,,
121,송도동 13-8번지,송도동 13-24번지,0.8,,,0.8,1.4,1.9
122,송도동 13-8번지,송도동 13-24번지,0.8,,,0.8,1.4,1.9
123,송도동 163번지,송도동 220번지,3,,,3,3,2
124,더마스터뷰 2302동,더샵프라임 2004동,2.5,0.5,1.5,2.5,3,1.5
125,인천송원초등학교,인천박문여고,3.8,,,3.8,3,1.5
126,송도동 144번지,송도동 144번지,1.2,,,1.2,1.5,1.9
127,더샵파크에비뉴 1601동,더샵퍼스트파크 13F 1301동,3.1,,,3.1,3,1.5
128,해모로월드뷰 303동,아메리칸타운 103동,1,,,1,1.5,1.5
129,송도동 174-7번지,송도동 173-1번지,0.6,,,0.6,1.5,1.5
130,송도동 177-4번지,송도동 173-5번지,0.6,,,0.6,2.1,1.5
131,송도동 245번지,송도동 187-1번지,2.5,,,2.5,2.1,1.5
132,송도동 195-1번지,송도동 195-1번지,0.8,,,0.8,2.1,1.4
133,한국외국어대학교,한국외국어대학교,0.7,,,0.7,2.1,1.5
134,더샵그린에비뉴 805동,자이하버뷰 105동,0.8,,,0.8,2.1,1.5
135,더샵그린워크 1101동,더샵그린워크 3차 1803동,0.8,,,0.8,2.1,1.5
