연번,읍면,노선명,시점,종점,자전거도로 유형,연장(km),자전거도로너비(m),데이터기준일자
1,홍성읍,충서로,소향리 379(소향삼거리),소향리65-2(덕산통사거리),자전거보행자겸용도로,1.56,2.0~2.5,2025-09-18
2,홍성읍,충서로,소향리65-2(덕산통사거리),대교리 706(대교사거리),자전거보행자겸용도로,0.84,2.5~3.0,2025-09-18
3,홍성읍,흥덕서로,월산리 612-9,소향리 379(소향삼거리),자전거보행자겸용도로,2.58,2.25,2025-09-18
4,홍성읍,조양로247번길,고암리 1041,고암리 1051,자전거보행자겸용도로,0.1,1.1,2025-09-18
5,홍성읍,조양로246번길,고암리 344-5(역재교차로),고암리 420-3,자전거보행자겸용도로,0.83,1.3,2025-09-18
6,홍성읍,충절로,오관리 366-10,고암리 541-5,자전거보행자겸용도로,0.74,1.5~2.8,2025-09-18
7,홍성읍,남장로,옥암리 271-8(옥암3교차로),고암리 673-12,자전거보행자겸용도로,0.26,1.4~1.5,2025-09-18
8,홍성읍,남장로,남장리 산131(청운대학교),남장리 622,자전거보행자겸용도로,1.4,1.5~3.5,2025-09-18
9,홍성읍,남장중로,남장리 624,남장리 628,자전거보행자겸용도로,0.86,1.4,2025-09-18
10,홍성읍,,남장리 624,남장리 625,자전거보행자겸용도로,0.33,1.4~1.5,2025-09-18
11,홍성읍,홍장북로,고암리 830-3,고암리 673-12,자전거보행자겸용도로,1.86,1.4,2025-09-18
12,홍성읍,남장로+충절로953번길,고암리 677,고암리 1192,자전거보행자겸용도로,0.53,1.5~1.7,2025-09-18
13,홍성읍,충절로953번길,고암리 1192,고암리 1081,자전거보행자겸용도로,0.45,1.2~1.5,2025-09-18
14,홍성읍,문화로33번길,옥암리 1106(옥암2교),오관리 576-2(옥암교),자전거보행자겸용도로,0.22,1.4,2025-09-18
15,홍성읍,월산로50번길,월산리 875,월산리 92-7,자전거보행자겸용도로,1.54,1.5~2.0,2025-09-18
16,홍성읍,법원로,월산리 871,월산리 904,자전거보행자겸용도로,0.94,1.5,2025-09-18
17,홍성읍,월산로,월산리 237-22,오관리 841-6,자전거보행자겸용도로,0.57,1.5,2025-09-18
18,홍성읍,월산로30번길,월산리 900,월산리 880,자전거보행자겸용도로,0.6,1.5,2025-09-18
19,홍성읍,소향길91번길,소향리 421,소향리 388-2,자전거보행자겸용도로,0.4,1.5,2025-09-18
20,홍성읍,조향로33번길,오관리 841-6(신촌삼거리),옥암리 58-6,자전거보행자겸용도로,0.86,1.5,2025-09-18
21,홍성읍,충서로,옥암리 241-1(옥암3교차로),소향리 379(소향삼거리),자전거보행자겸용도로,3.72,1.1~2.5,2025-09-18
22,홍성읍,도청대로,내법리 405-3[(구)홍성여고입구],상하리 283-53(내포신도시경계),자전거보행자겸용도로,4.36,2.5~4.0,2025-09-18
23,홍북읍,도청대로,신경리 1908(내포신도시경계),신경리 1905(예산군 경계),자전거보행자겸용도로,5.94,2.4,2025-09-18
24,홍북읍,선화로,신경리 1909,신경리 1939(예산군 경계),자전거보행자겸용도로,0.88,1.75,2025-09-18
25,홍북읍,청사로,신경리 1911,신경리 1919(예산군 경계),자전거보행자겸용도로,3.68,2.4~3.0,2025-09-18
26,홍북읍,의향로,신경리 1917,신경리 1914(예산군 경계),자전거보행자겸용도로,4.24,2.4~3.0,2025-09-18
27,홍북읍,홍예로,신경리 1912,신경리 1923(예산군 경계),자전거보행자겸용도로,4.42,2.4~3.0,2025-09-18
28,홍북읍,홍원로,신경리 1906,신경리 1929,자전거보행자겸용도로,0.42,1.5,2025-09-18
29,홍북읍,용봉로,신경리 1906,신경리 2054,자전거보행자겸용도로,2.4,2.4,2025-09-18
30,홍북읍,홍학로,신경리 1906,신경리 2010,자전거보행자겸용도로,1.83,2.4,2025-09-18
31,홍북읍,신대로,신경리 1906,신경리 1912,자전거보행자겸용도로,2.71,1.5,2025-09-18
32,홍북읍,홍예공원로,신경리 1906,신경리 1929(예산군 경계),자전거보행자겸용도로,0.72,2.4,2025-09-18
33,홍북읍,자경로,신경리 1916,신경리 1926,자전거보행자겸용도로,0.42,1.5,2025-09-18
34,홍북읍,상하천로,신경리 1909,신경리 1915,자전거보행자겸용도로,0.86,1.5,2025-09-18
35,홍북읍,충남대로,신경리 1905,석택리 636,자전거보행자겸용도로,4.76,2.4,2025-09-18
36,홍북읍,도청남측주차장진입로,신경리 1909,신경리 538,자전거보행자겸용도로,0.08,2.5,2025-09-18
37,홍북읍,청사로15번길,신경리 1919,신경리 1914,자전거보행자겸용도로,0.24,1.5,2025-09-18
38,홍북읍,청사로174번길,신경리 1919,신경리 1914,자전거보행자겸용도로,0.48,1.5,2025-09-18
39,홍북읍,청사로150번길,신경리 1943,신경리 1940,자전거보행자겸용도로,0.26,1.5,2025-09-18
40,홍북읍,청사로150번길,신경리 1943,신경리 1940,자전거보행자겸용도로,0.23,1.5,2025-09-18
41,홍북읍,상아천(좌),신경리 2053,신경리 517-4,자전거 전용도로,0.74,2,2025-09-18
42,홍북읍,상아천(우),신경리 2053,신경리 933,자전거 전용도로,0.74,2,2025-09-18
43,홍북읍,신리천(좌),신경리 2053-1,신경리 1921,자전거 전용도로,0.98,2,2025-09-18
44,홍북읍,신리천(우),신경리 2053-1,신경리 1921,자전거 전용도로,0.98,2,2025-09-18
45,홍북읍,신경천(좌),신경리 1921,신경리 1777,자전거 전용도로,1.31,3,2025-09-18
46,홍북읍,신경천(우),신경리 1921,신경리 1779,자전거 전용도로,1.32,3,2025-09-18
47,홍북읍,자경천(좌),신경리 1912,신경리 1779,자전거보행자겸용도로,2.33,2,2025-09-18
48,광천읍,광천로428번길,신진리 74-4,소암리 84-5,자전거보행자겸용도로,2.44,1.5,2025-09-18
49,광천읍,광천로274번길,광천리 392-11(옹암교),광천리 243-7(광천교),자전거보행자겸용도로,0.6,1.2~1.5,2025-09-18
50,광천읍,홍남로686번길+오서길,광천리 252-9,담산리 503-2,자전거보행자겸용도로,3.45,1.2~1.5,2025-09-18
51,광천읍,광천로,옹암리 448-1,광천리 392-11(옹암교),자전거보행자겸용도로,0.75,1.2,2025-09-18
52,광천읍,광천천,옹암리 508-40,옹암리 641,자전거보행자겸용도로,1.42,1.5,2025-09-18
53,광천읍,,옹암리 508-27,옹암리 656,자전거 전용도로,0.46,4,2025-09-18
54,광천읍,홍남로,신진리 490-3(단아래사거리),신진리 513-3,자전거보행자겸용도로,0.34,2,2025-09-18
55,광천읍,충서로,신진리 490-3(단아래사거리),마온리 108-3(산업단지삼거리),자전거보행자겸용도로,7.28,3.5~4.0,2025-09-18
56,서부면,천수만로+남당항로,어사리 232-10(어사교차로),궁리 1023(군경계),자전거 전용도로,6.33,1.6~3.0,2025-09-18
57,서부면,남당항로435번길+남당항로213번길+홍보로,신리 655(군경계),어사리 232-10,자전거 전용도로,4.22,1.5~3.0,2025-09-18
,,,,,,95.81,,
